call_id,caller,callee,start_time,end_time,duration_sec,call_type,cid,lac,sector,imei,imsi,operator,circle,roaming,lat,lon
1,7608637542,9421126067,2025-12-14 01:33:00,2025-12-14 01:39:09,369,OUTGOING,66944,2954,2,666644413142286,404458615280711,Airtel,Karnataka,False,17.9926419015578,73.33239271909515
2,8571218620,8563451924,2025-12-17 11:12:00,2025-12-17 11:14:38,158,INCOMING,58596,1663,1,335735489845369,404902372521174,BSNL,Karnataka,True,27.21142890255866,79.75421705281045
3,6249467210,7972458954,2025-11-30 07:59:00,2025-11-30 08:02:27,207,INCOMING,21380,1231,1,584160211643764,404425815370599,BSNL,Rajasthan,True,23.71190306898248,85.71302504577535
4,9041148567,8795544706,2025-12-10 06:43:00,2025-12-10 06:46:30,210,INCOMING,45412,3947,1,388712238890292,404007395928407,BSNL,Gujarat,True,21.578535747152586,83.1800479553721
5,9575313899,6911989541,2025-12-18 17:47:00,2025-12-18 17:56:21,561,INCOMING,81420,4175,2,954875366495423,404803946600724,Jio,Karnataka,False,14.496298247078984,84.5181006615061
6,8652062880,7306710475,2025-11-23 01:30:00,2025-11-23 01:34:06,246,MISSED,97788,5031,2,466384438997013,404379207941680,Jio,Gujarat,True,14.495912325379242,81.85810060079291
7,8253890010,8627888186,2025-12-03 06:43:00,2025-12-03 06:46:58,238,INCOMING,66017,7645,2,462830846353065,404804732396495,Airtel,Rajasthan,True,12.929337794691191,82.46097816132135
8,6999745294,7958805693,2025-11-25 11:12:00,2025-11-25 11:21:33,573,OUTGOING,83637,8154,3,658267516406446,404812606411314,BSNL,Maharashtra,False,25.85881833239896,85.28552172817575
9,7642661739,8208620086,2025-12-19 04:28:00,2025-12-19 04:34:07,367,MISSED,55973,4386,3,386919244675903,404981861928754,Jio,Rajasthan,False,21.61784018789134,74.49402415946534
10,8921898630,6732395540,2025-12-21 10:52:00,2025-12-21 11:00:16,496,OUTGOING,10998,2510,1,475010554947971,404382104480059,Vi,Karnataka,False,23.329161244736728,78.80964934557653
11,8419304461,9472040177,2025-12-16 22:50:00,2025-12-16 22:59:13,553,SMS,51643,3316,3,847639150422792,404382671587892,Airtel,Maharashtra,True,12.32935190873284,73.98176995275284
